73,1009
570,2002
1835,6295
2229,6232
3569,5787
4950,6991
986,5792
1337,2744
1810,6326
3418,4922
2420,6145
408,4910
2079,6467
208,1072
681,1709
4010,4258
3042,6955
2217,5379
397,739
2336,3830
340,1691
4995,6284
3735,5939
2485,4760
3185,4211
4322,4816
4209,5190
2179,6992
769,6612
1298,6396
4518,6621
2295,3643
3471,4087
1633,4683
484,500
1809,2358
2986,7022
1306,1392
4860,6647
1243,3902
1512,6930
3089,6615
3886,6702
6087,6850
4028,6136
2977,4230
2424,2474
3702,3994
1601,2858
4915,6310
4210,5209
5957,6872
5032,6107
2588,5205
1422,7121
432,3808
5040,6097
744,2861
35,2737
4617,4871
4527,6303
2387,4032
1594,7058
1614,5540
690,5261
2615,4380
3320,6812
4446,6397
375,5337
276,5126
3950,4089
356,5291
372,3819
1656,4155
5665,6911
3498,4312
2555,6724
4660,5036
2005,4611
1644,6214
1596,6676
4292,4938
1227,2770
4272,5065
1590,2187
2192,7003
3375,6318
1062,1078
6124,7044
3098,3832
5887,5905
1995,6359
368,2895
2833,6257
2688,3004
1157,1484
430,923
395,6281
2068,3036
3476,6997
6476,6777
646,6901
4146,6083
1099,6308
2901,4713
5467,6956
4572,4936
4510,6394
4288,6565
3351,5322
1523,5741
1184,2505
2219,2406
2114,6596
5772,6557
2378,6003
2061,6475
498,6033
277,6165
324,3835
3037,5896
1977,5639
3842,6768
1071,6522
583,4476
291,3541
218,394
5215,6595
374,6192
792,2991
2623,5651
607,1345
189,552
4694,5387
3491,6814
2223,3628
1275,6150
3486,5029
2031,3709
2904,6941
144,2003
2175,6368
719,3266
6405,7109
1004,2553
1689,2905
955,2065
2278,2371
3088,6000
2102,2339
2222,4289
5806,6707
1916,5952
2150,4534
3594,4390
5853,6796
2447,6050
2316,2916
351,6985
177,5714
4282,5691
1351,3087
506,3930
1713,5555
452,576
5614,6831
31,5148
1424,4425
1164,6958
5229,5903
4242,6054
1365,6775
6315,7075
2764,6541
2668,3756
1900,5234
6635,7063
1083,2700
1914,6975
2816,6554
3518,5420
615,2624
229,1229
4506,6980
5101,5717
425,6419
526,1334
206,2372
1140,1472
2556,2952
2992,6194
4569,5738
1858,3181
4078,4899
4033,4854
4885,5180
4215,4914
1382,4142
5374,6224
1748,5049
91,3781
3634,5023
5392,6857
787,2511
1279,1536
527,1781
1475,4192
3992,5136
523,6225
3595,5511
290,545
3319,6657
683,701
2994,5430
1997,6089
5810,6939
4585,4717
1968,6799
61,2626
1676,6244
4969,5938
5453,5920
3285,4162
2723,3765
1409,1646
1837,6038
2941,3199
1598,6304
2879,5164
2812,6213
1648,5147
1540,1615
2565,6513
3509,6821
5367,6077
2042,5421
5945,6380
1021,4349
4507,5706
321,4791
3877,6544
5243,5352
3209,5315
949,7125
314,2342
764,970
2574,3161
2506,3268
5472,6533
1548,5827
3458,3995
3708,6789
1396,3058
2548,2696
3581,6208
4919,6537
697,3226
4767,6424
1205,5377
2001,2566
867,2436
4614,5323
5703,6363
2426,6357
53,3192
2760,5682
1356,5085
2956,2984
1277,4182
2121,4597
1179,5233
126,6649
638,4256
86,6108
3548,4516
49,6216
586,1491
969,6843
1060,4943
1872,2197
3401,3789
932,3052
3067,3589
3557,5489
3753,5360
1686,4593
1818,1938
2813,5465
4840,5292
2614,3198
1917,3564
197,6103
1582,6666
2499,2804
138,5248
4591,5207
1043,4689
5521,6745
2878,3219
1102,6864
6,6072
1375,3015
3286,6070
